男性が子供を抱き上げて立っています。	坊主頭の男性が子供を抱いて立っています。
男性がテニスのラケットで打ち返しています。	テニスコートで選手がラケットでボールを打ち返しています。
床に靴と熊のぬいぐるみが置かれています。	靴とくまのぬいぐるみが置かれています。
テーブルに置かれたお皿に猫が入っています。	テーブルの上に置かれたお皿に猫が丸まってます。
1人の人が雪山でスキーをしています。	1人の人が雪山でスキーをしています。
白い犬がえさにありついています。	白い犬が人に食べ物を与えられています。
3人のスキーヤーが雪山でポーズをとっています。	雪山に３人のスキーヤーが立っています。
テーブルの上に野菜が並べられています。	木製の台の上に野菜が置かれています。
机上の籠の中にオレンジが入っています。	籠の中にオレンジが盛られています。
青空の中を白と青に塗られた旅客機が飛行しています。	青と白色が入った一機の飛行機が空を飛んでいる。
バイクに乗っている男性が信号で停止している。	街角でバイクに乗っている男性が信号で停止しています。
入口にロープが張られた簡易トイレです。	トイレの入り口にロープが張られています。
パソコンのモニター三台が、机の上にあります。	机の上に、電源が入ったパソコンのモニターが3台置いてあります。
水辺の脇の線路を汽車が走っています。	水辺にある線路の上を列車が走っています。
波の描かれた壁をスケートボードに乗った男性が駆け上がります。	波の描かれた壁を使ってスケートボードをしている人がいます。
舌を出した女性の先に、収穫前のバナナの房があります。	女性が、バナナの木の横で、バナナに向かって舌を出しています。
飛行機の前に二人の男性が立っています。	セスナ機の手前に男性が二人立っています。
広場で多くの人が凧揚げをしています。	大勢の人が広場で凧揚げをしています。
大勢の人が広場で凧揚げをしています。	広場で大勢の人が凧上げをしています。
木が茂っている薄暗い場所にキリンが1頭立っていてこちらを見ている。	木が茂っている薄暗い場所にキリンが1頭立っていてこちらを見ている。
一台のバイクが砂煙を出しながら、砂漠を走っています。	砂の上をオートバイが疾走しています。
棚に熊のぬいぐるみが沢山並んでいます。	棚に熊のぬいぐるみが並んでいます。
船の窓に都市と川が反射して映り込んでいます。	船のまどに町の景色が映りこんでいます。
布団の上でクマのぬいぐるみが向かい合っています。	２つのクマのぬいぐるみがベッドの上に置かれている。
川の近くの草原に数頭の象がいます。	数頭の象が川の近くの草原にいます。
街中を走る２台の単車。	町の道のカーブをバイクが二台まがっていきます。
牧場で人が出した手に馬が鼻をつけています	馬が人間の手に鼻を近づけています。
1匹の犬と女性が並んで立っています。	1匹の犬の隣に女性が立っています。
1匹の犬と女性が並んで立っています。	1人の女性が1匹の犬と一緒に立っています。
スノーボーダーが滑り台を滑っています。	スノーボーターが滑り台を滑っています。
キリンが1頭原野の中を歩いています。	キリンが茂みのある原野の中を歩いています。
キリンが一匹で、茂みがある草原の上を歩いています。	晴れた茂みのある草原の中を一匹のキリンが歩いています。
海辺の砂浜を何頭もの牛が歩いています。	海辺の砂浜に牛がたくさん歩いています。
料理店にある看板の上に時計が設置されています。	飲食店の看板が掲げられたビルの上に時計台があります。
赤い服のスキーヤーが斜面を滑っています。	赤い服のスキーヤーが斜面を滑っています。
女性と男児が庭でフリスビーで遊んでいます。	庭で女性と男児がフリスビーで遊んでいます。
シマシマ模様に雪面が整地された場所に男性スキーヤーが立っています。	シマシマ模様に雪面が整地された場所に男性スキーヤーが立っています。
並んで置かれたぬいぐるみにCDや車輪が取り付けられています。	CDや車輪や電飾が付けられたぬいぐるみが置かれています。
一頭の黒い熊が、水面に頭を出しています。	水面を１頭の黒い熊が、頭を出しています。
スキー板を付けている男性と女性が並んで立っています。	男の人と女の人がスキーを履いて立っています。
競技場でサッカーをしている人達がいます。	グラウンドでサッカーの試合をしています。
白地に花柄のお皿の上に、バナナが１本のっています。	お皿の上にはバナナが一本のっています。
１頭の麒麟が木の葉を食べています。	１頭の麒麟が木の葉を食べています。
１頭の麒麟が木の葉っぱを食べています。	１頭の麒麟が木の葉っぱを食べています。
スキーヤーとスノーボーダーが5人並んでいます。	スキーの板やスノーボードに乗った人たちが5人並んで立っています。
雪山で薄着の女性がスキーをしています。	一人の薄着の女性が、雪山でスキーをしています。
トイレのタンクにぬいぐるみとボックスティッシュが置いてあります。	トイレのタンクの上にティッシュと熊のぬいぐるみがあります。
草原に四頭のシマウマが立っています。	草地に4頭のシマウマが立っています。
雪山の斜面を、1人のスノーボーダーが滑走しています。	雪山をスノーボードで滑っている人がいます。
自転車用のヘルメットの中にクマのぬいぐるみが入っています。	自転車にかけられたヘルメットの中にクマのぬいぐるみがあります。
スケートボードでジャンプしている男性がいます。	男性がスケートボートでジャンプしています。
雪が積もっている場所で、赤い上着を着た人がスキーをしています。	赤い服を着た人が、スキーをしています。
山の上の細い道を、4頭の牛が歩いています。	細い山道を牛が四頭歩いています。
いろんな陶器がウィンドウディスプレイされています。	ショーウインドウの中に様々な陶磁器があります。
オーブン付きコンロのそばにたくさんの人形か置かれている。	オーブンの周りには人形がたくさん置かれています。
大草原でシマウマたちが草を食べています	草原の中でシマウマが草を食べています。
長いベンチの端に座る一人の男性がいます。	長いベンチの端に一人の男性が座っています。
ミシンと箱に入った食べかけのピザがあります。	ミシンと食べかけのピザがあります。
スケートボードをしている男性がいます。	男性がスケートボードの上に乗ってコースを進んでいます。
テーブルでキーボードとマウスを操作しているところです。	キーボードとマウスで操作しています。
キーボードとマウスで操作しています。	キーボードとマウスに触れています。
牧場で牛たちが横に並んで歩いています。	牧場で牛たちが横に並んで歩いています。
4人の男性が、ベンチに横並びで座っています。	４人の男性が、ベンチに横に並んで座っています。
絵の描かれた壁の前で傘を差した人達がいます。	大勢の人たちが壁アートの前で傘をさしています。
便器の中に黒い猫が頭を突っ込んでいます。	便器に黒ネコが頭を突っ込んでいます。
沢山のオレンジが山積みになっています。	たくさんのオレンジが山積みになっています。
キッチンのテーブルの上にコップがあり、壁には調理器具が並んでいます。	壁に調理器具が掛けられた下にコップなどが置かれたテーブルがあります。
上半身裸の男性がベンチに座って紙を見ています。	上半身裸の男性が、ベンチに座って何かを読んでいます。
上半身裸の男性がベンチに腰かけて、何かを読んでいます。	上半身裸の男性が、ベンチに座って何かを読んでいます。
雪の斜面を、スノーボーダーがジャンプしています。	スノーボーダーが雪のスロープをジャンプしている。
スタジアムで野球の試合が行われています。	スタジアムで野球の試合が行われています。
机の上のノート型パソコンの画面が光っています。	白色の机の上に、起動したままのノート型パソコンが置いてあります。
ハチマキをした男の人がラケットを持っています。	テニスラケットを持った男性は、頭にハチマキを巻いています。
左右で目の色が違う猫がソファの上に座っています。	オッドアイの猫が猫ベッドに座っています。
スケートボードをしている人がいます。	スケートボードをしている人がいます。
女性のテニスプレイヤーが、ガッツポーズをしています。	女の人がテニスをしてガッツポーズをしています。
馬に乗った二人の女性が海の砂浜を散歩しています。	砂浜で2人の女性が馬に乗って散歩しています。
馬に乗った二人の女性が海の砂浜を散歩しています。	砂浜で２人の女性が乗馬して散歩しています。
建物の側の駐車場に数台のバスや乗用車が停車しています。	建物の側の駐車場にバスや乗用車が停車しています。
かごにクマのぬいぐるみがたくさん入っています。	くまのぬいぐるみがたくさんあります。
サッカー選手がグランドで練習しています。	サッカー選手たちがコートの中で練習をしている。
男の人が歯ブラシをくわえてこちらを見ています。	男性が歯ブラシを口にくわえています。
室内にはソファーやテレビが設置されています。	部屋に大きなソファーとテレビがあります。
STOPの道路標識に落書きがしてあります。	道に倒れかけた一時停止の標識には落書きがされています。
サーファーたちが大波に乗っています。	サーファーが大きな波に乗っています。
サーファーが大きな波に乗っています。	高い波でサーフィンを楽しんでいる人がいます。
青いトラックが駐車場に止まっています。	青いトラックが駐車場に停車しています。
スノーボーダーが雪上を滑ってジャンプしています。	雪山をスノーボードで高くジャンプしています。
カゴの中に黄色いバナナが詰め込まれています。	カゴの中に熟した黄色いバナナが入っています。
カゴの中に黄色いバナナが詰め込まれています。	カゴの中に、たくさんのバナナの房が入っています。
ベッドの前の台の上に開かれたノートパソコンがあります	ベッドの前の台の上にノート型パソコンが置いてあります。
駐車場にバイクが停められています。	駐輪場に一台のオートバイが停まっている。
ヘルメットを被った男性が、バイクの後ろに立ち、青空の下にいます。	黒いオートバイの後方にヘルメットをかぶった人物が立っています。
ベットの上に猫が座っているところです。	ベッドの上に１匹の猫がしゃがんでいます。
ネクタイをした子供が車の前に立っています。	古い車の前にネクタイをした男の子が立っています。
車の前にネクタイを締めた少年が立っています。	古い車の前にネクタイをした男の子が立っています。
机にはパソコンや筆記具などたくさんの物が置いてあります。	木製の机にパソコンや文房具などが置いてあります。
二人の赤い服を着た人が、雪が積もった上をスキーで滑っています。	二人の赤いウェアを着た人が、スキー板を着けて雪の上を滑っています。
道端に黄色い消火栓が設置されています。	道路のわきに黄色の消火栓があります。
シャツ・ネクタイ・ジャケット・ズボンが置かれています。	シャツ、ジャケット、ネクタイとズボンが並べて置かれています。
雪の積もった中を、赤い電車が、走っていく様子。	赤い一両の列車が、雪景色の中を走っていきます。
草原にシマウマがいて、草を食べています。	数頭のシマウマが立って草を食べています。
黄色いお弁当箱の中に野菜と魚が入っている。	黄色いお弁当箱の中に野菜と魚が入っている。
眼鏡を掛けたネクタイをしている男性がいます。	眼鏡をかけてネクタイをしている男性がいます。
携帯電話にスピーカーが接続されています。	携帯電話に接続されたスピーカーがあります。
建物の前に警察車両が止まっています。	建物の前に警察車両がとまっています。
道路の脇にオレンジのバスが停車しています。	道路の脇にオレンジ色のバスが停車しています。
四人の男女が手に持ったナイフをケーキにあてて笑っています。	四人の男女がケーキにナイフを入れています。
黒いウェアのテニス選手がボールを打とうとしています。	黒いテニスウェアを着た男性がテニスをしています。
子供が二人フリスビーをして遊んでいます。	小さい子供が、フリスビーを投げて遊んでいます。
男性がテニスボールを打ち返そうとしています。	テニスコートで男性がボールを打ち返そうとしています。
ラップでサンドイッチを包んでいます。	ラップに包まれたサンドイッチがあります。
スノーボーダーが宙を舞っています。	スノーボーダーが空中にジャンプしています。
女性が右手に機械をもってわらっています。	女性が右手に機械を持ってわらっています。
三人の男女が並んで乗馬をしています。	男性１名と女性２名が乗馬をしています。
デスクにノートパソコンが２台あります。	机の上に、パソコンが二台置いてあります。
動物園で、象が3頭連なって歩いています。	動物園内を象が3頭列をなして歩いています。
黄色と青色の電車が線路の上を走行しています。	前が黄色でサイドが青色の電車が走っている。
一人の男性がサーフィンをしています。	海で男性がサーフィンをしています。
レンガ造りの時計台の側面に円形の時計が設置されています。	レンガ造りで円形の時計が設置された時計塔です。
二頭の象が、鼻を互いに交差させ合っています。	象が互いの鼻をからめあっています。
複数のフルーツが店に並べられています。	店先に、色とりどりの果物が並んでいます。
乗物の通路にスケートボードがおいてあります。	乗り物の座席の間にスケートボードが置いてあります。
雪の中、1匹の犬がフリスビーをしています。	雪の上で１頭の犬がフリスビーをくわえ走っています。
一機の飛行機が青空を飛んでいます。	一面真っ青の上空をプロペラ機が飛んでいます。
テーブルにいろんな種類のピザが置いてあります。	様々なトッピングのピザが、台の上にあります。
草原でじゃれている象が二頭います。	二匹の象が鼻でじゃれあって遊んでいます。
草が生い茂っている所に、3頭のゾウがいます。	草むらの中に三頭のゾウが立っているところです。
カットされたりんごと包丁があります。	切られたりんごとナイフが置かれている。
フロントが黄色い電車が線路の上を走っている。	正面が黄色の列車が、線路を走っています。
ホットサンドイッチとオレンジがお皿に置いてある。	サンドウィッチやオレンジがお皿の上にあります。
ホームに立つ男性の前に、列車がいます。	スーツを着た人が列車の前に立っています。
スノーボードに乗ってジャンプしています。	スノーボードでジャンプをしているところです。
スノーボードでジャンプをしているところです。	スノーボードでジャンプしている人です。
正装した男女が横に並んでケーキの前にいます。	正装した男女が横に並んでケーキの前に立っています。
歩道脇に赤い消火栓がたてられています。	歩道脇の地面に消火栓が取り付けられています。
芝生に止まれの交通標識が有ります。	芝生の上に停止の道路標識看板が立っています。
波打ち際の砂浜の上をサーフボードを抱えた人が歩いています。	サーフボードを持って海岸を歩いている人がいます。
携帯電話の画面に表示された男性の顔です。	携帯電話の外側の画面に男性の画像が映っています。
二階建ての緑色のバスが駐車されています。	二階建てのみどりいろのバスが駐車されています。
木々の茂る草原に二頭のキリンがいます。	草地の上にキリンが二頭立っています。
雨の日の街中、道路脇に路上駐車の車がたくさん停まっています。	雨の街の道路に車がたくさん停まっています。
観光客を乗せた象が森の中を歩いています。	森の中の道を人を乗せた象が一頭歩いています。
牛が木の間からこちらを見ています。	木々の間から牛が顔を出しています。
置き時計の前に２つの腕時計が置かれている。	置時計の下に腕時計が二つ置かれています。
数頭の牛が草原の上に集まって立っている。	草原に複数の牛たちが立っています。
野球のバッターがボールを打とうとしています。	野球場で選手がバッターボックスに立っています。
椅子の上で、猫が丸まって寝ています。	椅子の上で一匹の猫が丸まっています。
イスの上で猫が丸くなって寝ています。	椅子の上で一匹の猫が丸まっています。
白い馬の馬車が道路を歩いています。	馬車を引いている馬が道路を歩いている。
雪が積もった場所で青いスキーウェアを着た人がスキーをしています。	雪上を青い服を着た男性がスキーで滑っています。
建物の前で警官が馬に乗っています。	建物の前で警察官が馬に乗っています。
テニスコートでラケットを持って振りかぶっている人がいます。	テニスコートで男性がテニスをしています。
駅のホームに正面又は後面が黄色い電車が停まっています。	一両編成の正面又は後面が黄色い電車が駅に止まっています。
食べかけのピザを片手に持った人がいます。	食べかけのピザを持っている人がいます。
女性の頭の上にバナナが乗せられています。	女性が頭の上にバナナの房を乗せています。
ケーキが置かれたテーブルの後ろに男性と女性が立っています。	ケーキが置かれたテーブルの後ろに男性と女性が立っています。
芝生の上で２人がフリスビーをしています。	芝生の上にフリスビーで遊んでいる人がふたりいます。
洗面所に設置されたライトが点灯しています。	洗面所に設置されたライトが点灯しています。
ビルが立ち並ぶ都会の歩道に、消火栓が設置されています。	高層のビルが立ち並ぶ通りに消火栓があります。
黄色い列車がホームに入ってきています。	駅のホームに黄色い電車が進入しています。
赤い背もたれのいすのような上に、赤い首輪をした猫がいます。	赤いイスの上に、赤い首輪をした猫が座っています。
雪の上でスキー板を手にした人たちがいます。	雪の上にたくさんの人がスキーを持って集まっています。
毛が長い二頭の馬が石で作られた柵の中に居ます。	石で作られた柵の中に、二頭の毛の長い馬が居ます。
草原の上に、一頭の牛が寝そべっています。	牛が牧草の上に寝そべっています。
小さな子供がバナナをむいて食べています。	男の子がソファーに座ってバナナを食べています。
草原にたくさんの羊がいます。	草原に沢山の羊の群れが見えます。
野球場で選手同士がハイタッチをしています。	野球の試合にて、選手同士がハイタッチをしています。
カウンターの上に、ズラッと並べられた、ワイングラスの数々です。	沢山のワイングラスがカウンターの上に1列に並んでいます。
森の中の草むらに緑色の鳥が一羽いる。	森のなかで、緑色の鳥が一羽で佇んでいます。
男性が、一部をかじられたチョコドーナッツを両手に持って見ています。	一人の男性が、チョコレートのかかったかじりかけの大きなドーナッツを持って見つめています。
テーブルの上の絨毯のようなクロスの上に熊のぬいぐるみが置かれています。	テーブルクロスの上にくまのぬいぐるみが乗っています。
冷蔵庫に様々なステッカーが貼られています。	冷蔵庫にたくさんシールが貼られています。
一人のサーファーが波に乗っています。	高い波の中、サーフィンをしている人がいます。
海で女性サーファーがサーフボードにまたがっています。	海上でサーフボードの上に女性がまたがっています。
バットを大きく振りかぶっているバッター。	バッターボックスでバットを構えています
生地を伸ばす台の上に焼く前のピザが乗っています。	まだ焼いていない手作りピザが、台の上に置いてあります。
黒いヘルメットを被った人がスケートボードをしており、コンクリートの斜面の縁にスケートボードが斜めに乗っている瞬間の写真です。	黄色いヘルメットを被った人がスケートボードをしており、コンクリートの斜面の縁にスケートボードが斜めに乗っている瞬間の写真です。
白を基調にして作られた洗面所があります。	白を基調にして作られた洗面所があります。
飲み物がワイングラスに入っています。	ワイングラスに赤い飲み物が入っています。
デスクにはたくさんのパソコンが並んでいます。	デスクの上に、ノートパソコンやディスプレイが並べられています。
テニスコートに白い服を着た人たちが集まっています。	テニスコート脇のベンチの周りに白い服を着た人たちが集まっています。
雪山でスキーをしている人達がいます。	ゲレンデでスキーをしているひとたちがいます。
走行するスケートボードに乗っている足元です。	走行するスケートボードに乗った人の足元です。
広い室内にたくさんの人々が椅子に座っています。	広い室内にたくさんの人たちが椅子に座っています。
広い室内でたくさんの人たちが椅子に座っています。	広い室内にたくさんの人たちが椅子に座っています。
スケートボーダーが手すりを滑っています。	階段の手すりでスケートボードをする男性がいます。
室内の机の上にノートパソコンが置かれています。	室内の机の上にノートパソコンが置かれています。
海の上でサーフボードに乗っている犬がいます。	サーフボードに乗った犬が、海の上にいます。
ベッドの布団の上に二匹の猫がいます。	花柄のベッドの上に二匹の猫が座っています。
バッターボックスの打者がバットを振っています。	野球選手がバッターボックスでバットを振る動作をしています。
女の子がベッドの上でぬいぐるみを抱いています。	水色のキャミソールを着た少女がぬいぐるみを抱えてベッドの上に座っています。
三頭のくまが水の中につかっています。	水の中で３頭のクマが水浴びをしています。
ラグビー場でプレーヤーがボールを持っています。	グラウンドで選手がラグビーボールを持っています。
四角く白い深皿にパスタ料理と緑色の野菜が盛り付けてあります。	白いお皿に盛られた、パスタと野菜の数々です。
道路に二階建てバスが止まっています。	路上に二階建てバスが停車しています。
カウンターに一個のオレンジが置かれている。	台の上にオレンジが置かれています。
茂みの中に二頭のキリンが立っています。	草原で二頭のキリンが佇んでいます。
成熟する前のバナナを地面に置いてあります。	地面に青いバナナの房が置かれています。
スケートボードでジャンプした男性がいます。	スケートボードで大きくジャンプしているスケートボーダー。
ライオンが、シマウマに襲い掛かっています。	ライオンが横たわったシマウマの首に、襲い掛かっています。
路面に花柄の模様のついた駐車料金投入器があります。	目の前に黄色地に花を描いたパーキングメーターがあります。
ホットドッグに赤いソースをかけています。	ボトルからホットドックにソースを垂らしています。
砂浜で凧揚げをしている人たちがいます。	砂浜で空高く凧をあげている人がいます。
聴衆が見守る中、車が走っています。	聴衆が見守る中、車が走っています。
大きな口を開けてバナナを食べている男の子がいます。	男の子が大きな口を開けてバナナを食べています。
男性と犬がフリスビー競技をしています。	芝のグラウンドで、飼い主と犬がフリスビーをしています。
白い馬が顔だけを出している所の画像です。	白い馬が窓から顔を出しています。
路上に両手に荷物を持った男の人が立っています。	両手に買い物袋を持った男性が、道に立っています。
階段に子供たちが座ってるその前に野球ボールとバットが置いてあります。	少年たちが野球の道具を前に並んで座っています。
バス停に赤色のバスが1台停車しています。	赤色のバスがバス亭に停車しています。
ノートパソコンが二台ならべられています。	二台のノートパソコンがならべられています。
白い器に料理が盛り付けられています。	皿の上に料理が盛り付けられています。
時計台の屋根に風見鶏が付いています。	屋根に風見鶏がついている時計台があります。
椅子に座った子供が手づかみで、食事をしています。	椅子に座った子供が、手づかみで食事をしています。
左から冷蔵庫とエスプレッソマシンとガスレンジが並んでいます。	右からガスレンジとエスプレッソマシンと冷蔵庫が並んでいます。
きりんが草むらの中を歩いています。	草原でキリンが歩いているところです。
壁に設置された時計は１０時２０分を指しています。	建物の中央部に設置された時計が10時20分をさしています。
トレーに料理と飲み物が乗せてあります。	トレーの上に食べ物と飲み物が置かれています。
飛行機型の凧を持ってる女性がいます。	女性が芝生の上で飛行機型の凧を持っている。
男性が片手に容器を持って携帯電話を耳に当てています。	男性が紙コップを持ちながら携帯電話をかけています。
暖炉のすぐ前にテーブルとイスが置かれています。	部屋に、暖炉と椅子とテーブルがあります。
スマートフォンを手に持っています。	左手でスマートフォンを持っています。
テーブルや椅子が置かれた広い台所があります。	ダイニングキッチンにテーブルや椅子などが置かれています。
白を中心としたキッチンの横の階段は黒色です。	白色を基調としたキッチンスペースには螺旋階段があります。
緑のコンテナの中身を、白いトラックに移しています。	緑色のトレーラーから白いトラックに積載物を移しています。
ビルの傍の道路上を二階建てバスが走っています。	２階建てバスがビルの側の道路を走っている。
ベッドの上に大きな白い犬が横になって眠っています。	白い犬がベッドの上で眠っています。
白クマが日陰で仰向けで寝ています。	白熊が、仰向けになって寝ています。
ベンチの側で川が流れているところです。	川の急流の前にベンチが置かれています。
ピザが入った箱がデスクの上にあります。	書類などが置かれたテーブルにピザが置かれています。
野球のピッチャーがボールを投げようと構えています。	ピッチャーがボールを持って構えています。
おばあさんがスプーンを持っておじいさんに料理を食べさせています。	おばあさんがおじいさんにスプーンで食べさせています。
道路に黄色いバイクが停められています。	黄色いバイクが道路に停めてあります。
男の子が、フリスビーを投げようとしています。	森で男の子がフリスビーを飛ばそうとしています。
お皿の上の白い紙にホットドッグが置かれています。	皿の上の白い紙にホットドッグが置いてあります。
たくさんのバイクが並んでいます。	いろいろな種類のバイクが整然と並べられています。
線路の上を列車が走行しています。	線路を電車が走行している風景です。
痩せ型の白い犬が床に伏せています。	白く大きな細身の犬が、床に伏せています。
雪山の斜面をスノーボーダーがバランスを取りながらすべっています。	雪の積もる斜面をスノーボードですべる人がいます。
水面に黒い羽根をした一羽の鳥が浮かんでいます。	水面に赤いくちばしの黒い鳥が一羽います。
犬がフリスビーを追って走っています。	犬がフライングディスクを追いかけています。
ピザの置かれたテーブルを四人の人が囲んでいます。	ピザが置かれたテーブルを囲んで四人の人が座っています。
ガイコツが荒野をバイクで走っています。	荒野で骸骨がバイクに乗っています。
カラフルな布が多数並べられています。	色とりどりの生地が並べられています。
ジョッキーが競走馬に騎乗しています。	競走馬が、騎手を乗せて疾走しています。
金色の時計の針が、１２時半を指しています。	ゴールドに輝く時計が12時30分を示しています。
建物の横に点灯していない信号機があります。	電気の点いていない信号機が立っています。
快晴の雪山に大勢のスキー客がいます。	晴れた空の下の真っ白なゲレンデにはたくさんのスキーヤーがいます。
金網に囲まれた敷地の中に、シマウマが数頭います。	金網の向こうの広場に置かれた、石組みのところに、シマウマが集まっています。
フライパンの上で肉とにんじんが炒められている。	フライパンで肉と人参を炒めています。
水辺で小鳥が一羽水浴びをしています。	一羽の小鳥が水辺で水浴びをしています。
シーリングファンのある部屋にテーブルやソファ―、ランプ、植木などが置かれています。	天井にファンの有る部屋にソファーや机などが備えられています。
鍵と携帯電話、デジタルカメラなどが並べて置かれています。	カメラ、鍵、携帯電話、電子媒体などがあります。
テーブルの上に花が生けられた瓶が置いてあります。	テーブルの上の花瓶に花が生けてあります。
航空機が飛行機雲を引いて飛んでいます。	白い飛行機雲を引きながら、空を飛ぶ飛行機があります。
部屋の中に、大きさの違うベッドが２つ置いてあります。	部屋にサイズの異なる2つのベッドがあります。
パソコンのキーボードとマウスがあります。	パソコンのキーボードとマウスが並んでいます。
サーファーが青いボードで波にのっています。	少年が青いボードでサーフィンをしています。
女子テニス選手がサーブを打っています。	テニスコートで女性選手がサーブをしています。
ハンバーガーとフライドポテトが置いてあります。	お皿の上にたくさんのフライドポテトとハンバーガーが盛り付けられています。
台所はきれいに片づけられています。	キッチンは生理整頓されており、きれいな状態です。
テニスラケットを手にした男女が微笑んでいます。	テニスラケットを手にした男女が微笑んでいます。
たくさんの熊のぬいぐるみが重ねて置いてあります。	テディベアが山積みにされています。
大人の男性と女性が、歯磨きをしています。	男性と女性が、歯を磨いています。
道路沿いに、電球がたくさんついた看板が立っています。	道路横に、電球がたくさん付いた飲食店の看板が立っています。
赤色の消火栓が雪に埋もれています。	雪の積もった道端に赤い消火栓があります。
道路を赤いいろのバスがはしっています。	赤色のバスが街中を走行しています。
草原で２頭のシマウマが草を食べています。	草地にシマウマが二頭並んで草を食べています。
雪山の斜面をスノーボーダーが両手をあげながら滑っています。	雪の積もった山の斜面をスノーボーダーが滑っています。
机の上に、パソコンが2台置かれています。	デスクの上にパソコンが２台あります。
石造りの建物のバルコニーで男性が携帯電話で話しています。	石造りの建物のバルコニーで、男性が携帯電話で話しをしています。
二頭のシマウマがくさをたべています。	二頭のシマウマが頭を下げて下の芝を食べています。
リビングのソファーに2人が寝転がっています。	ソファーに男女二人が寝転んでいます。
男の人が二人一緒にキッチンで料理をしています。	二人の男性がキッチンで料理をつくっています。
財布やカメラなど、ハンカチの上に並んでいます。	ハンカチの上に、カメラ、サイフ、化粧用品などを広げています。
動物園でぞうが鼻を伸ばして飼育員から餌をもらおうとしています	動物園にて、ゾウが飼育員から餌をもらっています。
ブロッコリー等をゆでた野菜とオートミールがお皿にあります。	ブロッコリー等をゆでた野菜とオートミールがお皿にあります。
青いボールの中にみかんとりんごが入っています。	青いボールにリンゴとオレンジが盛られています。
人が街でスケートボードをしています。	路上でスケボーをしている人がいます。
芝生に犬を連れた人や凧を揚げている人などがいる。	芝生の斜面に、犬の散歩をしている男性と座っている男性と凧を揚げている子供達がいます。
男性が横になって、リモコンを使っています。	男性が寝そべりながら、リモコン操作をしています。
雪上でスノーボードをしている人がいます。	雪化粧の木の前にスノーボーダーいます。
花瓶に生けられた胡蝶蘭があります。	花瓶に白い胡蝶蘭がいけられています。
たくさんのバイクや自転車が一列に並んでいます。	自転車とバイクが並べられています。
砂地のグラウンドで大勢の人がフリスビーを追いかけています。	たくさんの人達が、フリスビーを追いかけています。
コルクで栓をされたワインボトルの横に、赤ワインの入ったグラスが置かれています。	テーブルの上にワインとワイングラスが置いてある。
男性の前には飲み物とホットドックが置いてあります。	男性の前にホットドックと飲み物があります。
女性が、テニスコートでラケットを構えています。	テニスコートの中で、女性がラケットを握りながら構えています。
二人の女性が象の背中と鼻に乗っています。	サーカスで女性がふたりぞうにのっている
ソファの上で猫が横になって寝ています。	ソファーの上で猫が横になって寝ています。
右バッターがバッターボックスで構えています。	バッターがバッターボックスで構えています。
男性サーファーがサフーフィンをしています。	男性サーファーがサーフィンをしています。
様々なデザインのネクタイがあります。	カラフルなネクタイがたくさんあります。
横一列に並んだ三頭の牛がコチラを見ています。	三頭の牛がこちらを向いて立っているところです。
カウンターにホットドッグとドリンクがあります。	台の上にホットドッグと飲み物が置いてあります。
緑色の鳥がノートパソコンの上にいます。	ノートパソコンの上に緑色の鳥がとまっています。
噴水の向こうに傘を差して歩いている人がいます。	噴水の向こう側に、傘を差した人が歩いています。
野外に設置された簡易型便所です。	屋外に簡易型のトイレが置いてあります。
テニスプレイヤーの女性がミネラルウォーターを飲んでいます。	女性がテニスラケットを脇に抱えて水を飲んでいます。
テニスラケットを持った人がコートの中を歩いています。	テニスラケットを持った選手がコートの中を歩いています。
寝室には大きなベットが二台あります	１つの部屋の中に、ベッドが２つ横並びで置かれています。
猫が赤いボウルに入って丸まって寝ています。	猫が小さく丸い赤い器の中に入り、丸まっています。
建物の前のバス停に二階建てバスが停車しています。	バス停に二階建てバスが停車しています。
赤い車の後ろに、犬が２匹います。	車の後ろで２匹のワンコが遊んでいます。
白い皿の上には二つのホットドッグが並んでいます。	皿の上に2つのホットドックが置かれています。
白い皿の上には二つのホットドッグが並んでいます。	皿の上にホットドッグが二つ置かれています。
皿の上に2つのホットドックが置かれています。	お皿の上にホットドッグが２個あります。
ゲレンデに、たくさんのスキー板とストックが放置されています。	スキー場の一角に何組ものスキー板とストックが置かれています。
テニスコートで女性がボールを打っています。	テニスコートででテニスをしている女性です。
砂浜に置かれたベッドに羊が座っています。	海辺のビーチにて、ベッドの上に羊が乗っています。
天井にグラスがさかさまにかけられています。	店の中には、ワイングラスがたくさん吊り下げられています。
一頭のキリンが草を食べながらこちらを見ています。	１頭のキリンがこちらを向いて草を食べています。
トイレの便座の上にトカゲが1匹います。	洋式便器の便座の上に小さなトカゲがいます。
冠水した道路を赤い傘を刺した女の人が歩いています。	冠水した道の上を赤い傘をさした人が歩いています。
テニスをしている女性同士がネット越しで握手をしている。	ネット越しに、テニスプレーヤー、2人が、握手をしています。
双眼鏡で離れたキリンを見ている男がいます。	草原で男性が一頭のキリンを双眼鏡で見ています。
雪の積もる庭には、腰掛け部分に雪が乗せられた椅子があります。	椅子の置いてある庭に雪が積もっています。
白い車の窓から茶色の犬が顔を出しています。	茶色い犬が車の窓から顔を覗かせています。
小さなケーキに一本のローソクを立ててカップルが吹き消しています。	大きなケーキに一本のローソクを立ててカップルが吹き消しています。
小屋の前に犬とスキーをはいた女性がいます。	スキー場の山小屋の前に犬と女性がいます。
